|   ID | Manufacturer_Name                          | City        | State           |
|------|-------------------------------------------|-------------|-----------------|
|    1 | Snitch Apparels Pvt. Ltd.                | Bengaluru   | Karnataka       |
|    2 | Powerlook                                 | Mumbai      | Maharashtra     |
|    3 | KTT Exports                               | Tirupur     | Tamil Nadu      |
|    4 | GARG ACRYLICS                             | Sahnewal    | Punjab          |
|    5 | Lifestyle International Private Limited   | Bengaluru   | Karnataka       |
|    6 | Brand Studio Lifestyle Pvt Ltd            | Bangalore   | Karnataka       |
|    7 | ACTIVE CLOTHING CO LIMITED              | Badali Ala Singh | Punjab          |
|    8 | Garg acrylic ltd                          | Ludhiana    | Punjab          |
|    9 | GARG ACRYLIC LIMITED                      | Sahnewal    | Punjab          |
|   10 | BANANA CLUB CLOTHING PRIVATE LIMITED     | Bengaluru   | Karnataka       |
|   11 | Thomas Scott (India) Ltd                  | Mumbai      | Maharashtra     |
|   12 | BLING BRANDS PRIVATE LIMITED              | Bangalore   | Karnataka       |
|   13 | ROYAL CLASSIC MILLS P LTD                 | Sulur       | Tamil Nadu      |
|   14 | KAPOOR COTSYN EXPORTS                     | Ludhiana    | Punjab          |
|   15 | SRI LAKSHMI CLOTHINGS                     | Tirupur     | Tamil Nadu      |
|   16 | OUTDRIP                                   | NEW DELHI   | Delhi           |
|   17 | Thimblerr Commerce And Technology Private Limited | Gurgaon     | Haryana         |
|   18 | AMRIT IMPEX PRIVATE LIMITED               | Kolkata     | West Bengal     |
|   19 | RADHAMANI TEXTILES PVT. LTD.              | Bengaluru   | Karnataka       |
|   20 | Frost Clothings                           | Noida       | Uttar Pradesh   |
|   21 | H & M Hennes & Mauritz Retail Private Limited | Thane       | Maharashtra     |
|   22 | PRATYAYA E-commerce Private Limited       | Hyderabad   | Telangana       |
|   23 | Bewakoof Brands Pvt Ltd                   | Bhiwandi    | Maharashtra     |
|   24 | Euro Clothing Company                     | Bangalore   | Karnataka       |
|   25 | Silver moon clothing                      | Bandipora   | Jammu and Kashmir |
|   26 | Stylofy                                   | BANGALORE   | Karnataka       |
|   27 | Sri Balaji Texknit Clothing Co            | Tirupur     | Tamil Nadu      |
|   28 | Alan Jones Clothing                       | Valsad      | Gujarat         |
|   29 | SWASTIK TEXHUB INDIA LLP                  | Hyderabad   | Telangana       |
|   30 | Jaiyam Industries LLP                     | Panchkula  | Haryana         |
|   31 | Adidas India Marketing Private Ltd.       | New Delhi   | Delhi           |
|   32 | kapoor cotsyn exports                     | ludhiana    | Punjab          |
|   33 | Brandstudio Lifestyle                     | Bangalore   | Karnataka       |
|   34 | Prateek Apparels Pvt Ltd                  | Kudlu       | Karnataka       |
