M_ID,Name,City,State,Manufacturer Name,Is Fair Wages,Reason for Unfair Wages,Working Hours,Timings,Is Worker Safe,Reason for Lack of Worker Safety,No Child Labor,Reason for Child Labor,Is Worker Satisfied,Reason for Low Worker Satisfaction,Certifications Received,Certification Names,Reason for No Certifications,Years Since Establishment,Ethical Score (1-10),Ethical Rating,Audit
1,Andaman Apparel Center,Port Blair,Andaman and Nicobar Islands,Andaman Apparel Center,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,2,"OEKO-TEX, Fair Trade",,9,9.4,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['OEKO-TEX', 'Fair Trade'] - Score: 24 | Ethical Longevity 5-9 years - 5"
2,Andaman Local Crafts,Various Locations,Andaman and Nicobar Islands,Andaman Local Crafts,FALSE,Piece-rate system results in wage inconsistencies,9,9 AM - 6 PM,FALSE,Manual dyeing without protection,TRUE,,FALSE,"Long hours, health issues",0,,No certification programs locally,7,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
3,Baratang Island Apparel Crafts,Baratang Island,Andaman and Nicobar Islands,Baratang Island Apparel Crafts,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,1,OEKO-TEX,,8,9.3,Excellent,Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['OEKO-TEX'] - Score: 23 | Ethical Longevity 5-9 years - 5
4,Havelock Island Fashion Hub,Havelock Island,Andaman and Nicobar Islands,Havelock Island Fashion Hub,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,2,"GOTS, OEKO-TEX",,13,10,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['GOTS', 'OEKO-TEX'] - Score: 25 | Ethical Longevity >= 10 years - 10"
5,Little Andaman Shell Crafts,Little Andaman,Andaman and Nicobar Islands,Little Andaman Shell Crafts,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,1,OEKO-TEX,,8,9.3,Excellent,Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['OEKO-TEX'] - Score: 23 | Ethical Longevity 5-9 years - 5
6,Nicobar Island Apparel Crafts,Car Nicobar,Andaman and Nicobar Islands,Nicobar Island Apparel Crafts,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,2,"GOTS, OEKO-TEX",,13,10,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['GOTS', 'OEKO-TEX'] - Score: 25 | Ethical Longevity >= 10 years - 10"
7,Adoni Apparel Network,Adoni,Andhra Pradesh,Adoni Apparel Network,FALSE,Contract labor paid below minimum wage,10,9 AM - 7 PM,FALSE,No first aid or fire training,FALSE,Informal supply chains,FALSE,Exploitation by supervisors,0,,Lack of formal registration,6,3.4,Poor,Fair Wages: FALSE - High Penalty: 0 | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
8,Amalapuram Fashion Resources,Amalapuram,Andhra Pradesh,Amalapuram Fashion Resources,TRUE,,8.5,9 AM - 5:30 PM,TRUE,,TRUE,,FALSE,Poor canteen facilities,2,"OEKO-TEX, GOTS",,10,9,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['OEKO-TEX', 'GOTS'] - Score: 25 | Ethical Longevity >= 10 years - 10"
9,Anantapur Fashion House,Anantapur,Andhra Pradesh,Anantapur Fashion House,TRUE,,9,9 AM - 6 PM,TRUE,,TRUE,,TRUE,,2,"OEKO-TEX, ISO 9001",,18,9.3,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['OEKO-TEX', 'ISO 9001'] - Score: 23 | Ethical Longevity >= 10 years - 10"
10,Bhimavaram Garment Systems,Bhimavaram,Andhra Pradesh,Bhimavaram Garment Systems,FALSE,No written contracts,11,9 AM - 8 PM,FALSE,"Machines not covered, poor lighting",FALSE,Low-cost child labor in embroidery,FALSE,Unfair practices unaddressed,0,,Not registered with labor department,5,3.6,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
11,Chilakaluripet Fabric Creations,Chilakaluripet,Andhra Pradesh,Chilakaluripet Fabric Creations,TRUE,,9,9 AM - 6 PM,TRUE,,TRUE,,FALSE,No incentive for overtime,2,"ISO 14001, SA8000",,14,8.8,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['ISO 14001', 'SA8000'] - Score: 23 | Ethical Longevity >= 10 years - 10"
12,Chittoor Textile Partners,Chittoor,Andhra Pradesh,Chittoor Textile Partners,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,FALSE,Lack of paid leave options,1,ISO 14001,,11,9,Excellent,Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['ISO 14001'] - Score: 20 | Ethical Longevity >= 10 years - 10
13,Dharmavaram Clothing Line,Dharmavaram,Andhra Pradesh,Dharmavaram Clothing Line,FALSE,Seasonal layoffs with no pay,10.5,8 AM - 6:30 PM,FALSE,"Ventilation issues, accident history",FALSE,"Employed as ""helpers"" under 14",FALSE,No job security,0,,Non-compliance with labor standards,7,3.6,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
14,Eluru Garment Group,Eluru,Andhra Pradesh,Eluru Garment Group,FALSE,No pay slips or records,10,9 AM - 7 PM,FALSE,Exposed machinery,FALSE,Orphaned teens employed,FALSE,No formal HR system,0,,No registration with labor board,4,2.4,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - High Penalty: 0 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity <5 years - 0
15,Gudivada Textile Partners,Gudivada,Andhra Pradesh,Gudivada Textile Partners,TRUE,,9,9 AM - 6 PM,TRUE,,TRUE,,TRUE,,1,ISO 45001,,16,8.9,Excellent,Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['ISO 45001'] - Score: 19 | Ethical Longevity >= 10 years - 10
16,Gudur Garment Solutions,Gudur,Andhra Pradesh,Gudur Garment Solutions,FALSE,Women not paid for overtime,10,8:30 AM - 6:30 PM,FALSE,"No safety exits, exposed wiring",FALSE,Underage girls in finishing unit,FALSE,Intimidation from supervisors,0,,"Unorganized, lacks policy documents",6,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
17,Guntur Textile Mills,Guntur,Andhra Pradesh,Guntur Textile Mills,TRUE,,9,8 AM - 5 PM,TRUE,,TRUE,,TRUE,,2,"ISO 45001, SA8000",,30,9.3,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['ISO 45001', 'SA8000'] - Score: 23 | Ethical Longevity >= 10 years - 10"
18,Hindupur Garment Makers,Hindupur,Andhra Pradesh,Hindupur Garment Makers,FALSE,Daily wage model without benefits,10,8 AM - 6 PM,FALSE,No sanitation or drinking water,FALSE,Labor supplied by agents,FALSE,No career mobility,0,,No awareness of labor rights,7,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
19,Jammalamadugu Apparel Makers,Jammalamadugu,Andhra Pradesh,Jammalamadugu Apparel Makers,FALSE,Cash payments below legal rate,11,9 AM - 8 PM,FALSE,Dust and dye exposure,FALSE,No age verification system,FALSE,Poor lighting and fatigue,0,,Rural home-unit model,4,2.4,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - High Penalty: 0 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
20,Jangaon Fabric Source,Jangaon,Andhra Pradesh,Jangaon Fabric Source,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,FALSE,No performance bonus,2,"GOTS, ISO 9001",,12,9.5,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['GOTS', 'ISO 9001'] - Score: 25 | Ethical Longevity >= 10 years - 10"
21,Kadapa Garment Source,Kadapa,Andhra Pradesh,Kadapa Garment Source,FALSE,Unpaid overtime common,11,8 AM - 7 PM,FALSE,No emergency exits or lighting,TRUE,,FALSE,"Long hours, poor hygiene",0,,Under local contractor management,5,3,Poor,Fair Wages: FALSE - High Penalty: 0 | Working Hours > 10 - 0 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
22,Kakinada Cotton Works,Kakinada,Andhra Pradesh,Kakinada Cotton Works,FALSE,Informal employment model,10,8 AM - 6 PM,FALSE,Dust exposure without controls,FALSE,"Family-based hiring, unpaid apprentices",FALSE,"No safety, low morale",0,,Lacks knowledge of certifying bodies,10,4.6,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity >= 10 years - 10
23,Kandukur Apparel Hub,Kandukur,Andhra Pradesh,Kandukur Apparel Hub,FALSE,"Fixed monthly pay, but below standard",10,9 AM - 7 PM,FALSE,No fire extinguishers or alarms,FALSE,Teens in packaging,FALSE,"Long shifts, lack of HR support",0,,"Family-owned unit, no external audit",5,3.4,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
24,Kavali Textile Trends,Kavali,Andhra Pradesh,Kavali Textile Trends,TRUE,,8.5,9 AM - 5:30 PM,TRUE,,TRUE,,TRUE,,2,"Fair Trade, WRAP",,13,9.4,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['Fair Trade', 'WRAP'] - Score: 24 | Ethical Longevity >= 10 years - 10"
25,Kurnool Textile Hub,Kurnool,Andhra Pradesh,Kurnool Textile Hub,FALSE,"No fixed wages, daily rate only",11,8 AM - 7 PM,FALSE,"Electrical wiring issues, no drills",TRUE,,FALSE,Job insecurity,0,,Ineligible due to informal setup,6,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
26,Machilipatnam Fabric Trends,Machilipatnam,Andhra Pradesh,Machilipatnam Fabric Trends,FALSE,"No contract, inconsistent pay",11,8 AM - 7 PM,FALSE,"Manual lifting, injury risk",TRUE,,FALSE,Fatigue and absenteeism,0,,Small unregistered enterprise,6,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity 5-9 years - 5
27,Madanapalle Textile Alliance,Madanapalle,Andhra Pradesh,Madanapalle Textile Alliance,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,FALSE,No transport or lunch provided,2,"ISO 45001, SA8000",,17,9.3,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['ISO 45001', 'SA8000'] - Score: 23 | Ethical Longevity >= 10 years - 10"
28,Nandyal Garment Group,Nandyal,Andhra Pradesh,Nandyal Garment Group,FALSE,Underpaid piece-rate work,10.5,9 AM - 7:30 PM,FALSE,No guardrails or maintenance,TRUE,,FALSE,Exhaustion and confusion,0,,Not part of industrial registry,8,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
29,Narasaraopet Fabric Collective,Narasaraopet,Andhra Pradesh,Narasaraopet Fabric Collective,TRUE,,9,9 AM - 6 PM,TRUE,,TRUE,,FALSE,No career progression,2,"ISO 45001, GOTS",,11,9,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['ISO 45001', 'GOTS'] - Score: 25 | Ethical Longevity >= 10 years - 10"
30,Nellore Garment Line,Nellore,Andhra Pradesh,Nellore Garment Line,FALSE,Low piece rate for women workers,10,9 AM - 7 PM,FALSE,"Overcrowding, no health checks",FALSE,Hiring from rural tribal areas,FALSE,Exploitative workload,0,,Operating under informal owner network,7,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
31,Ongole Textile Collective,Ongole,Andhra Pradesh,Ongole Textile Collective,TRUE,,8.5,9 AM - 5:30 PM,TRUE,,TRUE,,FALSE,Little growth opportunities,1,ISO 45001,,16,8.4,Good,Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['ISO 45001'] - Score: 19 | Ethical Longevity >= 10 years - 10
32,Palakollu Apparel Ventures,Palakollu,Andhra Pradesh,Palakollu Apparel Ventures,FALSE,No attendance records or payslips,10,9 AM - 7 PM,FALSE,Unsafe dyeing unit,FALSE,Family labor on contract basis,FALSE,Verbal abuse by line managers,0,,Operating informally,6,2.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
33,Piler Garment Makers,Piler,Andhra Pradesh,Piler Garment Makers,FALSE,Daily wage without overtime pay,10.5,8:30 AM - 7 PM,FALSE,Improper electrical wiring,FALSE,Informal sector supply chain,FALSE,"No benefits, long shifts",0,,Does not meet audit requirements,5,3.1,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
34,Pithapuram Clothing Company,Pithapuram,Andhra Pradesh,Pithapuram Clothing Company,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,FALSE,No skill training,2,"OEKO-TEX, ISO 9001",,9,8.8,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['OEKO-TEX', 'ISO 9001'] - Score: 23 | Ethical Longevity 5-9 years - 5"
35,Ponnur Textile Alliance,Ponnur,Andhra Pradesh,Ponnur Textile Alliance,FALSE,Seasonal wage fluctuation,10,9 AM - 7 PM,FALSE,"Unsafe boilers, lack of PPE",TRUE,,FALSE,No medical support,0,,Not registered with inspection bodies,4,3.7,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
36,Proddatur Clothing Company,Proddatur,Andhra Pradesh,Proddatur Clothing Company,FALSE,Gender pay gap,10,9 AM - 7 PM,FALSE,"Broken windows, bad lighting",TRUE,,FALSE,Wage disparity demoralizing,0,,Non-compliant ownership,8,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity 5-9 years - 5
37,Rajahmundry Apparel Makers,Rajahmundry,Andhra Pradesh,Rajahmundry Apparel Makers,TRUE,,9,9 AM - 6 PM,TRUE,,TRUE,,TRUE,,2,"BSCI, GOTS",,14,9.5,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['BSCI', 'GOTS'] - Score: 25 | Ethical Longevity >= 10 years - 10"
38,Rayachoti Apparel Network,Rayachoti,Andhra Pradesh,Rayachoti Apparel Network,FALSE,Below legal minimum wage,11,9 AM - 8 PM,FALSE,No safety training,FALSE,Children used in stitching,FALSE,No reporting mechanism,0,,Non-compliant work setup,6,2.4,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - High Penalty: 0 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity 5-9 years - 5
39,Salur Fashion Resources,Salur,Andhra Pradesh,Salur Fashion Resources,TRUE,,9,9 AM - 6 PM,TRUE,,TRUE,,TRUE,,2,"ISO 14001, SA8000",,15,9.3,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['ISO 14001', 'SA8000'] - Score: 23 | Ethical Longevity >= 10 years - 10"
40,Samalkot Garment Systems,Samalkot,Andhra Pradesh,Samalkot Garment Systems,FALSE,Migrant labor paid less,10,8:30 AM - 6:30 PM,FALSE,"Cramped units, no ventilation",FALSE,Trafficked teen workers,FALSE,Unhygienic conditions,0,,NGO investigation pending,5,2.7,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: FALSE - High Penalty: 0 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
