ID,Manufacturer Details
1,"Snitch Apparels Pvt. Ltd. No. 1/1, St. Johns Church Road, Bharathinagar, Bengaluru - 560005"
2,"Powerlook 116/929-930, BEST COLONY ROAD, MOTILAL NAGAR 1, GOREGAON WEST, MUMBAI 400104"
3,"KTT Exports, SF No 90. East Garden, Sollipalayam, Tirupur - 641652"
4,"GARG ACRYLICS, 1230/1, KANGANWAL ROAD, V.P.O, JUGIANA, G.T. ROAD, SAHNEWAL, PUNJAB 141120"
5,"Lifestyle International Private Limited,77 Town Centre,No 3 West Wing, Off, Yamlur PO, Bengaluru, Karnataka 560037"
6,"Brand Studio Lifestyle Pvt Ltd Sy#330/B,324,331,331/B,331 1 334/1Marasur Village Kasaba Hobli Anekal Taluk Bangalore 562106"
7,#ACTIVE CLOTHING CO LIMITED GHEL ROAD VILLAGE BADALI ALA SINGH 140406 FATEHGARH SAHIB INDIA
8,"Garg acrylic ltd, Kanganwal road jugiana, Ludhiana Punjab India , 141010"
9,"GARG ACRYLIC LIMITED ADDRESS-KANGANWAL ROAD, V.P.O JUGIANA G.T ROAD,Sahnewal, PUNJAB,141120"
10,"BANANA CLUB CLOTHING PRIVATE LIMITED Site No-28, Near Uttarahalli Bus Stop, Subramanyapura Main Rd, Bangalore Urban, Bengaluru-560061"
11,"Thomas Scott (India) Ltd, 4th Floor and 405, Kewal Industries Estate,S B Marg, Lower Parel West, Mumbai City, Maharastra 400013"
12,"BLING BRANDS PRIVATE LIMITED No.1433/A, New No. 32, Jayanagar, 39th Cross, 21st Main, 4th T Block, Bangalore, Karnataka, 560052 Customer Care No. : 080 43702806Email Support : care.blingbrands@gmail.com"
13,ROYAL CLASSIC MILLS P LTD UNIT VI SENJERIPUTHUR SULUR ( TK ) 200/1D 641671 COIMBATORE INDIA
14,"KAPOOR COTSYN EXPORTS 15-B TEXTILE COLONY, INDUSTRIAL AREA-A LUDHIANA-141003"
15,"SRI LAKSHMI CLOTHINGS T.K.T.MILL ,TIRUPUR 330/1, SRI GOKULA KRISHNA NAGAR, T.K.T.MILL ,TIRUPUR T.K.T.MILL ,TIRUPUR 641605 TIRUPPUR INDIA"
16,"OUTDRIP, F-165, RAJOURI GARDEN, NEW DELHI - 110027"
17,"Thimblerr Commerce And Technology Private Limited Khasra No 24//23/2/2,24/2,24/3,25/2/1, 34//3/3,4,5/1,26 Village, Jaurasi, Distt. Mewat, Haryana-122015,Gurgaon,Haryana,122015"
18,"AMRIT IMPEX PRIVATE LIMITED,1, 6th,BRITISH INDIAN STREET,Kolkata,WEST BENGAL-700069"
19,"RADHAMANI TEXTILES PVT. LTD. NO. 27, VTMS ARCADE, YELENKUNTE, MANGAMMANAPALYA, Hosur main Road, Bengaluru-560068"
20,Frost Clothings E-67 1st Floor Sec-7 Noida UP-201301
21,"H & M Hennes & Mauritz Retail Private Limited, Prakhhyat Infraprojects PVT. LTD., BUILDING 6, K-Square Logistics Park C/O LF LogisticsNear Padgha Toll Naka on MUMBAI-NASIKThane , Maharashtra - 421101"
22,"PRATYAYA E-commerce Private Limited5th Floor, Western Aqua 121, Workenstein Collaborative Spaces Private Limited, Kondapur, Hi Tech City, Whitefields, Hyderabad, Rangareddy, Telangana, 500081"
23,"Bewakoof Brands Pvt Ltd, Sairaj Logistic Hub #A5, Bmc Pipeline Road, Opposite All Saints High School, Amane, Bhiwandi, Thane, Maharashtra - 421302"
24,"Euro Clothing Company , No. 122 / 1, Doddabidarakallu, village, Yeshwanthpur Hobli, Tumkur Road, Karnataka, 560073 Bangalore, India"
25,Silver moon clothing nadihal bandipora jammu and kashmir 193502
26,"Stylofy 1st Floor, 4th cross, No 207 Lalbagh Road, Bengaluru Urban, BANGALORE 560027"
27,"Sri Balaji Texknit Clothing Co, Tirupur - 641604"
28,"Alan Jones Clothing, Shree Traders, Survey No. 1867/3/1/1, Nisarg Royal Industrial Park, Vatar Morai Road, Vatar, Valsad, Gujarat, 396191"
